Nazwa,Kcal,Bialko,Weglowodany,Tluszcz
"Szynka konserwowa Kraina Wędlin - Biedronka",99,19,1,2
"Sos musztardowo - miodowy",464,0.9,23.3,40.8
"Pomidor suszony",258,14.1,55.8,3
"Kanapka Twister KFC",239,9.5,23.5,12
"Indyk filet bez panierki (smażony)",135,26.1,0,2.6
"Kefir naturalny 0% - Jana",34,3.6,5,0
"Groszek konserwowy - Kwidzyn",74,4.3,12,0.5
"Masło bez laktozy- Lumiko",744,0.7,0.7,82
"Botwina (ugotowana)",27,2.6,5.5,0.2
"Makaron ugotowany",90,3.6,15.6,1.3
"Kakao (proszek) - Puchatek",373,3.7,85.6,1.8
"Ryż z jabłkami",156,1.8,33,2
"Sos śmietanowy",460,4,12,44
"Chleb Graham - Oskroba",222,7,41,2
"Jogurt naturalny 2% z wapniem - Pilos",58,4,6,2
"Kotlet schabowy (duszony)",176,17.8,3.8,9.8
"Olej kokosowy 1 łyżka",117,0,0,13.6
"Soczewica czerwona",327,25.4,48.6,3
"Sok z czarnej porzeczki",53,0.3,12.2,0.1
"Chleb kresowy - Oskroba",231,5.5,42,3.7
"Włoszczyzna słupki - Mroźna kraina (mrożonka)",49,1.6,8,0.5
"Rurki waniliowe - Biedronka",546,5.2,60,31
"Kurczak po chińsku",146,12,23,2
"Granola domowa",431,15,53,20
"Makaron świderki gotowany",168,6.2,33.5,0.7
"Mleko Zambrowskie 1,5%",46,3.3,4.8,1.5
"Keks bakaliowy",401,6.4,53.8,17.8
"żurek z jajkiem i kiełbasą",142,2.4,26.2,3.5
"Karkówka pieczona w rękawie",271,16,0,23
"Kawa (proszek)",241,12.2,41.1,0.5
"Kawa rozpuszczalna z mlekiem skondensowanym i cukrem",36,0.6,7.9,0
"Kiełbasa z szynki",172,16,2.3,11
"Śniadanie standardowe: szynka konserwowa, parówka, sosik, herbata.",300,21,30,11
"Jogurt naturalny bez laktozy - Zott",67,4.9,3.9,3.1
"Ser Ricotta (pełnotłusty)",174,11.3,3,13
"Zupa szczawiowa z jajkiem",93,3.7,9.6,4.4
"chleb z biedronki pszenno żytni",231,7.3,46.4,1.2
flexit,325,50,29,0
"Szynka gotowana  Kraina Wędlin - Biedronka",95,16,2,2.5
"Mąka jaglana",373,10.8,73.1,4.3
Żelatyna,344,85,0.1,0.1
"Jęczmień zielony w proszku",171,24,14.3,2
"Orzechowiec (ciasto)",487,6.2,44.8,31
"Chleb graham - mieszany - Polański",214,5.4,43.7,1.1
"Bułka Bagel Plain - Tesco",263,9.3,53.6,1
"Musli Fruchte",342,8.8,60,5.3
"Jogurt naturalny 0% tłuszczu - Jovi",49,5.2,6.7,0.2
"Kotlet schabowy gotowany na parze",173,24.3,0,7.8
"Olej kokosowy - Virgin Bio",828,0,0,92
"Wafelek Prince Polo Classic XXL",530,5,58.5,30.5
"Oscypek mlekowita",267,25,0,19
"Sękacz (ciasto)",468,12.7,44.2,31.3
"Jogurt Activia truskawka poziomka - Danone",76,2.8,13.1,1.4
"Lody Algida Big Milk",140,2.5,24,3.5
"Chleb pełnoziarnisty ze słonecznikiem - Mestemacher",201,5.1,31.6,3.7
"Jogurt naturalny kozi",77,5.6,2.8,5
"Udziec z indyka bez skóry",144,19.3,0,6.7
"Wafle kukurydziane czarny pieprz i konopie - Good Food",381,9.8,72,3.9
"Popcorn bez tłuszczu",387,12.9,77.9,4.5
"Dżem wiśniowy - Łowicz",144,0.4,34.9,0.2
"Żurawina suszona - Aldi",342,0.6,78.5,1.1
"Sałatka Cezar z sosem - Fit & Easy",120,6.8,6.1,7.4
"Sałata Mix - Aldi",16,1.3,3.9,0.2
"Ser topiony kremowy",277,9,4,25
"Jogurt Activia do picia truskawka-kiwi",78,2.8,13.1,1.6
"Serek Wiejski (z malinami i żurawiną) PIĄTNICA",122,9,13,4
"Słonecznik łuskany - Makar",577,24.4,18.6,43.7
"Płatki gryczane błyskawiczne",387,9,81,3
"Miód pszczeli nektarowy HUZAR",340,0,84,0
"Lody Kaktus",128,0.1,24.2,3.4
"Skrzydełka z kurczaka (smażone)",89,7.6,0,6.3
"Pizza Guseppe z kurczakiem - Dr. Oetker",252,8.7,30,11
"Mleko Łaciate 3,8% Junior - Mlekpol",66,3.2,4.7,3.8
"Orzeszki ziemne",567,26,16,49
"Ciastko kruche z marmoladą",444,5.1,66.4,17.1
"Sos koperkowy",43,1.8,3.8,2.6
Tatar,118,17.5,0.8,5
"Makaron pełnoziarnisty Penne (nieugotowany) - Biedronka",345,15.2,68,1.3
"Sałatka (roszponka, pomidory cherry, ogórek, papryka, feta, oliwa)",71,2.3,4.3,4
"Barszcz czerwony - Winiary",23,0.2,4.9,0.3
"Sos pomidorowy z oliwkami",68,1.5,6,3.7
"Ser królewski light - Sierpc",300,31,1.6,19
"Ser żółty Edamer",312,25,0.1,23
"Ciastko 'szarlotka'",290,2.7,40.3,13.5
"Salami włoskie",425,21.7,1.2,37
"Cukierki owocowe",350,2.6,79.7,2.3
"Kebab w bułce",195,8.2,19.8,9.7
"Daktyle suszone - Makar",290,2,65.3,0.4
"Kebab wołowy",202,9.9,20.3,10.4
"Chleb Fitness - Piekarnia pod telegrafem",242,6.1,55.2,1.3
"Orzechy ziemne niesolone",603,26,14,50
"Chleb alpejski - Biedronka",244,8.3,47,1.5
"Chleb żytni na naturalnym zakwasie - Biedronka",247,7.8,49.5,1.3
"Chleb żytni - Piekarnia Julka",226,6.4,44,1.2
"Surówka z marchwi",91,1.6,8.2,5.3
"Chleb żytni z 7 ziarnami - Biedronka",235,6.8,30,7.6
Ajerkoniak,95,2.9,14.2,3
"Chleb pełnoziarnisty pumpernikiel - Oskroba",216,5.6,43.6,1.8
"Chleb szczeciński - Netto",245,9,48.6,1
"Otręby granulowane z truskawkami",333,12.5,36,8.5
"Szynka konserwowa wieprzowa (parzona)",93,13.5,3,3
"Ser biały z rzodkiewką",153,9,3,11
"Chrupki kukurydziane pałeczki - Tygryski",373,8.2,80,1.8
"Chleb żytni litewski",235,6.1,49.4,1.9
"Naleśniki z jabłkiem",161,3.8,32,3.2
"Koncentrat pomidorowy 30% Pudliszki",104,4.9,18,0.8
"Tuńczyk kawałki w oleju słonecznikowym - Princes",197,25,0,10.8
"Kotlet mielony smażony wieprzowy",248,19.5,5.9,17.7
"Sos sałatkowy Włoski",291,0.4,10.4,28.4
"Whey Protein",374,75,9,4
Kolagen,360,90,0,0
"Serek twarogowy - Lidl",247,5,3,24
"Kurczak z rożna bez skóry",100,21.5,0,1.3
"Gołąbki własnej roboty",117,12,13,1
"Herbata (nieparzona)",0,0,0,0
"Żelki - Haribo",343,6.9,77.4,0.1
"Pierś indycza  bez skóry",104,17,4,2
"Ocet balsamiczny Varvello",141,0,32.4,0.1
"Dżem wiśniowy niskosłodzony z kawałkami owoców - Łowicz",144,0,35,0
"Serek lekki - Twój Smak",157,3.4,9,12
"Słodka chwila Kisiel z kawałkami owoców - Dr.Oetker",63,0.1,15.8,0.1
"Barszcz czerwony z uszkami",82,60,17.2,0.4
"Landrynki Wedel",387,0,96,0.2
"Kiełbasa śląska z grilla 1",201,20.2,0,13.4
"Polędwica sopocka wieprzowa",116,21,1,3
"Konserwa turystyczna",168,9,4,13.2
"Sos słodko - kwaśny - Pudliszki",91,0.8,21.6,0.2
"Makaron 5 jajeczny Krajanka - Czarnecki",369,13.3,69.6,3.4
"Poledwica drobiowa - JBB",93,20.4,0,1.2
"Bułka fińska",222,7.2,41.1,3.6
"Ser kozi",452,30.5,2.2,35.6
"Sok ananasowy",53,0.4,12.9,0.1
"Filet z indyka wędzony - Zakłady Drobiarskie Koziegłowy",92,19,1,2
"Jogurt proteinowy",65,11,4,0
"Kurczak (wędzony)",165,27,0,11
"Pomysł na pierś z kurczaka z czosnkiem i ziołami - Winiary",137,27.8,1,2.4
"Mieszanka Wedlowska - Wedel",476,5.1,60.4,23.3
"Makrela (w puszce)",156,23.2,0,6.3
"Woda smakowa (cytrynowa)",21,0,5,0
"Twarożek wiejski lekki - Piątnica",81,11,2.4,3
"Masło roślinne Flora pro-activ do smarowania pieczywa",325,0,2.5,35
"Pasztet z indyka",212,7.8,5.1,17.9
"bigos polski z kiełbasą i grzybami pamapol DOM",108,2.9,3.5,8.5
"WPC protein plus V3 80",348,80,4.4,1.2
"Mąka pszenna tortowa typ 450 Lubella",352,10,74,1.1
"Ciastko kruche z nasionami dyni i słonecznika",518,12,47,31
"Zabielacz do kawy",557,1.5,59,35
"Chleb Razowy Fitness",198,5,36.9,3.2
"Fasola czerwona gotowana (bez soli)",127,8.7,22.8,0.5
"Ciastka Oreo",480,4.8,70,20
"Pasztet drobiowy z pomidorami - Profi",208,8.1,5.7,17
"Ciastko owsiane (domowego wypieku)",447,6.8,66.4,17.9
"Jajko w majonezie",248,6.2,1.8,23.5
"Jogurt typu greckiego z malinami - Piątnica",78,7,14.4,0
"Olej lniany - Oleofarm",826,0,0,92
"Mleczna Kanapka Kinder",420,8.2,34,28
"Płatki kukurydziane tradycyjne Corn Flakes - Biedronka",372,8.2,81.7,1.4
"Pierogi z kapustą i grzybami (Swojska Chata)",158,4.2,22,5
"Ser Radamer",339,26.2,0.1,26
"Lody Magnum Classic",300,4,27,19
"Czekolada Extra Gorzka (65% kakao) - Alpen Gold",560,7.1,37.5,39.5
"Ser Twarogowy Półtłusty - Zielona Łąka",128,20,3,4
"Sos czosnkowy",230,1.5,11,20.5
"Mąka chleba świętojańskiego - Karob",222,4.6,88.9,0.7
"Płatki z pełnego ziarna z jabłkiem i rodzynkami Frutina - Nestle",317,7.8,69.4,2.2
"Tatar wołowy + żółtko, oliwa z oliwek, cebula, ogórek kiszony",140,12.8,1.3,9.5
"Małże gotowane",172,23.8,7.4,4.5
"Ostropest plamisty",302,34,5.1,11
"Szynka Babuni - Sokołów",97,18,1,3
"Mleko 2% MU! - Spar",48,3,4.6,2
"Filet z ryby w panierce smażony",232,15,17,12
"Kiełki na patelnię",128,9.6,24.4,0.3
"Żurawina suszona - Lidl",341,1,78,1
"Filet wędzony z piersi kurczaka - Pikok",111,21,0.1,3
"Creatine Powder Optimum Nutrition",20,0,0,0
"Kasza owsiana (ugotowana)",125,5.4,26.3,2.8
"Baton musli bar śliwka żurawina - Oshee",403,5.1,69.1,10.8
"Warzywa (grillowane)",88,1.4,6.6,6.9
"Tortilla z warzywami i kurczakiem",175,10.8,21.6,5
"Polędwica z warzywami - Indykpol",92,11,3,4
"Passata z ziołami Sottile Gusto - Biedronka",31,1.7,4.4,0.5
"Placek po węgiersku",168,10.9,8.3,11.2
"Pasztecik z kapustą i grzybami",158,5.2,23.7,4.6
"Spaghetti po bolońsku z makaronem",233,12.3,25.6,8.8
"Sajgonki z warzywami",196,6.6,32,4.7
"Ryż Basmati - Tesco",356,8,77,1
"Twaróg solankowy wędzony Jana",217,13,3,17
"Serek puszysty z cebulą i szczypiorkiem Łaciaty - Mlekpol",250,5.8,4.9,23
"Chleb żytni pełnoziarnisty z pestkami dyni",180,5.3,33.3,2.8
"Twaróg domowy tłusty",148,15.5,3.5,8
"Płatki ryżowe błyskawiczne",344,6.7,76.5,0.7
soda,0,0,0,0
"Chleb owsiany",269,8.4,48.5,4.4
"Kisiel Pyszny Kubek truskawkowy - Twój Deser",55,0.1,13.4,0
"Indyk (mięso gotowane/pieczone)",170,29.3,0,5
"Chleb Dukana",218,9.5,28.2,6.5
"Chłodnik litewski",64,4,2.9,4.1
"Cukierki Wherther's Original Creamy Filling",406,0.7,81.7,8.5
"Makaron Tagliatelle (nieugotowany)",288,11,55,2.3
"makaron penne ze szpinakiem i fetą",102,3.2,9.4,5.2
"Łosoś - Biedronka",220,19,0,16
"Zupa rybna pomidorowa",74,7.5,6.8,1.7
"Ciasto pleśniak",363,5.2,53.5,14.5
"Tarta z jabłkami",180,3.6,20,9.7
"Sok jabłkowo-marchwiowy z Sokowirówki",46,0.5,12.3,0.3
"Ryż długoziarnisty (nieugotowany) - Tesco",355,7,79,1
"Polędwica z indyka wędzona",90,19.1,1.9,0.7
"Groszek konserwowy - Nasza Spiżarnia, Biedronka",89,4.9,14,0.5
"Chleb z pieca z ziarnami",237,6.6,45.8,2.8
"Brzoskwinie w syropie",60,0.5,15.5,0.4
"Jajo r.M",139,12,1,10
"Chleb żytni wileński",227,4.3,48,1.5
"Chleb żytni - Frąckowiak PiP",229,5.9,53,1.8
"Ser Tylżycki",315,25,0,25
"Kawa rozpuszczalna z mlekiem 0,5% i ksylitolem",36,1,10,0
"Chleb żytni z dynią",230,5.1,42.1,3.5
"Muffinka czekoladowa",352,6.7,36.5,20.4
"zsiadłe mleko 'Krasnystaw'",46,2.9,4,2
"Ogórki korniszony z chili",12,1,2,0
Wędlina,353,13,2.3,32
"OstroVit WPC80.eu Białko OstroVit",379,78,14.3,1
"Mirinda (napój)",58,0,12.3,0
"Szynka gotowana z piersi kurczaka",102,20,1,2
"Ryba po grecku",99,8,9,4
"Soczewica zielona ziarno",351,24.2,60.8,0.6
"Kurczak z warzywami w galarecie",70,10,7.5,1.1
"Drażetki Tic Tac",397,0,97.5,0.6
"Jajo r.L",139,12,1,10
"Zupa ziemniaczana",39,1.6,6.6,1.2
"Szynka wędzona 'Maestro'  - Henryk Kania",106,21,1,2
"Chleb białkowy - Mestemacher",261,20.7,12.6,12.2
"Makaron sojowy (ugotowany)",86,0,20.9,0
"Masło orzechowe Mcennedy - Lidl",592,24,13,50
"Lody Sorbet malinowy",145,0.7,33,0.2
"Zupa cebulowa",34,0.7,3.2,2.3
Pumpernikiel,240,5.9,58.2,2
"Łosoś kawałki w wodzie - Amerigo",154,16,0,10
"Chleb wieloziarnisty mieszany",255,9.5,40,5
"Chałwa sezamowa",519,14,48,29
"Chleb domowy razowy pszenny z otrębami i słonecznikiem",208,6.9,39.7,2.4
"Bułka żytnia z dynią",326,11.8,46.4,10.3
"Ser pleśniowy Brie pełnotłusty",364,20.8,0.5,31.7
"Chleb Dawny - Oskroba",215,5.2,45.1,1.5
"Lody Tiramisu - Grycan",257,4.6,29.1,13.5
"Wafle Andruty suche",350,7.9,72,4.8
"Pasztecik z mięsem",329,8.7,30.5,19.9
"Podudzie z kurczaka ze skórą",161,19,0,9
"Ser Feta - Tolonis",190,13,7.5,12
"Ryż pełnoziarnisty parboiled  (nieugotowany) - Kupiec",358,7.7,75,2.4
"Żołądki drobiowe",114,18.2,0.6,4.2
"Frytki Zig Zak z piekarnika - Aviko",166,2.5,26.4,4.9
"Ser Edamski - Bluedino",347,26,0.1,27
"activlab recovery",340,40,45,0
"Indyk filet (surowy)",84,19,0,1
"Baton Go on! protein bar",434,19.3,40.8,20
"Serek chrzanowy - Almette",247,6,4,23
"Płatki Corn Flakes - Nestle",375,7,83,1
"Ser żółty salami w plastrach 300g - Światowid",352,26,1.3,27
"Pierniki mini - Katarzynki",338,7.4,73,1
"Kabanos - Tarczyński",500,24.8,3,43.8
"Bułka drożdżowa",280,9,46,6
"Filet z kurczaka w panierce",264,15,22,13
"Sałatka z tuńczykiem i kukurydzą",131,5,13,7
"Sałatka ziemniaczana po żydowsku (z majonezem)",114,1.5,13.5,6
"Kawa latte - Coffe Heaven",55,3.3,4.5,2.7
"Pierś z kurczaka (surowa)",99,21.5,0,1.3
"Pasta rybna z tuńczyka",377,8,3,37
"Kiełbasa kresowa - Sokołów",164,19,0.6,9.5
"Kiełbasa smażona",266,16,0,22.8
"Szynka - Balcerzak",87,16,0.8,2
"Kasza manna",170,4,38,0.5
"Sos chilli słodko - pikantny - Tao Tao",246,0.3,60.6,0.2
"Słonecznik łuskany prażony",568,19.1,24.3,48.9
"Sałatka jarzynowa z jajkiem",145,2.3,11,11
"Surówka z białej kapusty z kukurydzą konserwową i majonezem - Marwit",96,1.6,12.7,3.6
Cukierki,350,2.6,79.7,2.3
"Twarożek kanapkowo-sernikowy - Wieluń",273,6,4,26
"Kanapka z serem i szynką, sałatą, ogórkiem i pomidorem",226,15.7,29.2,6.1
"Pieczywo chrupkie Herbs - Ryvita",346,11,59,5.5
"Filet pieczony z indyka Kraina Wędlin - Biedronka",107,20,1,2.5
"Odżywka białkowa stevia Whey - SFD",348,80,5,1
"Parówki - Sokołów",285,13,2,25
"Jogurt naturalny typ grecki - Bakoma",123,3.7,4.6,10
"Pasztet sojowy",253,6,5.7,21
"Śledzik marynarski w zalewie octowej - Nautica",103,12,3.5,4.5
"szynka wieprzowa gotowana krojona Lidl",103,20,1,2
"Ser Krolewski , zolty , . Mlekpol",347,26,0.1,27
"Zupa meksykańska",99,8.7,8.6,3.3
"Pieczywo chrupkie lekkie 7 zbóż - Wasa",340,10,69,3
"Fasola biała (ziarno suche) ",315,21.4,61.6,1.6
"Surówka z kapusty pekińskiej, marchewki i jabłka z majonezem lekkim",56,0.9,6.3,2.9
"Nalewka Babuni miodowa",309,0,33,0
"Olej ryżowy 823",823,0,0,91
"Płatki Granola z jagodą i granatem - Sante",424,7.7,68.3,12
"Szprot wędzony",243,19.3,0,18.3
"TreC ISOLATE 100",347,84,1,0
"Królik (pieczony)",197,29.1,0,8.1
"Bułka z serem",216,10,28,9
"Morszczuk smażony",159,21,0,7.8
"Jogurt owoce leśne 2,5% tłuszczu Jogobella - Zott",98,3.5,15.3,2.5
"Hummus marokański",237,7.5,15,15
"Szynka wieprzowa konserwowa (Morliny)",99,19,1.3,2
"Bułka do hamburgera",288,9.7,50.8,4.2
"Rodzynki w czekoladzie",427,4.8,62,16
"Wafle zbożowo-ryżowe - Sunny Corn",375,12,75,2
"Chleb Grześkowy żytni na zakwasie",225,9,36,6
"Pasztet z królika",245,14,4,19
"Zupa buraczkowa",27,1,6,1
"Pomidor ugotowany",18,1,4,0.1
"Płatki owsiane - Kupiec",378,12,63,7
"Chleb Fitness",257,7.7,34.3,8
"Jogurt naturalny polski - Mlekovita",64,3.9,5.3,3
"Ciasto z jabłkami (ucierane)",248,3,29,13
"Śmietanka PILOS 30%",293,2.5,3.2,30
Pesto,340,3.7,6.3,34.6
"Zupa jesienna warzywna (mrożonka) - Hortex",27,1.6,7.2,0.2
"Chleb wieloziarnisty pszenno żytni - Biedronka",277,8,45,5.6
"Sezamki Aha",505,10.2,60.1,26.4
"Bułka z nasionami słonecznika",293,11.8,46.9,8.7
"Krupnik na kurczaku",34,2,5.3,0.5
Kabaczek,17,1.2,3.1,0.3
"Udko z kurczaka bez skóry (duszone)",198,22.9,0,12.4
"Ryba z grilla",111,22.8,0.3,1.2
"Mieszanka bakaliowa orzechowa Nut Mix - Tesco",649,16,11,58
"Żurawina suszona - Sereno",331,0.5,78,1
"Koncentrat pomidorowy Dawtona",101,4.3,19,0
"Szpinak mrozony liscie",19,2.5,0.5,0.3
"Piwo Żubr",51,0,0,0
"BCAA 1100mg Olimp",32,7.8,0.1,0
"Czekoladki Raffaello",623,9.3,38.8,47.8
"Szynka wędzona z indyka",184,37,1,3
"Sucharki - Parovita",314,4.3,60,5.6
"Premium Dessert Ciasteczkowy",347,80,3.7,1.4
"Przyprawa Gyros - Kamis",213,10,19,6
"belvita- ciastka orzechy+ miód",455,7.6,69,15
"Masło solone - President",725,0.7,0.5,80
"Wątróbka z indyka",228,17.8,2.3,16.4
"Kiełbasa Śląska PIKOK",312,14.8,0.2,28
"Ryż paraboiled (nieugotowany)",361,8.1,80,1
"Jogurt naturalny sokólski 0% - Mlekpol",42,4.5,5.9,0
Kokos,354,3.3,15.2,33.5
"Ser Ementaler",339,26.2,0.1,26
"Ser Mozzarella tarty - Sottile Gusto",278,24,0.5,20
"Barszcz ukraiński - HORTEX",31,1.4,4.8,0.5
"belVita kakaowe ciastka zbożowe",440,7.8,66,15
"Szynka gotowana - Mazury",103,20,1,2
"Herbata zielona z owocami (parzona)",1,0.1,0.2,0
"Zupa kalafiorowa z koperkiem Mroźna Kraina - Biedronka",35,2,5,0.2
"Odżywka 100% Natural Whey Protein Concentrate - Olimp",395,77,6,7
"Pieprz cayenne",318,12,57,17
"Parówki wędzone z kurczaka",194,12.5,4,14.2
"Lody waniliowe - Grycan",264,4.6,25.8,15.8
"Zupa królewska HORTEX",43,2,5,1
"Szpinak Liście mrożony - (TESCO)",25,3.2,0.6,0.2
Schab,128,24,0.4,3.5
"Boczek gotowany",517,10,0,53
"Jogurt naturalny probiotyczny - Jana",87,4.7,6.9,4.5
"Chleb Pur-Pur",186,8.2,28.6,4.3
"Ser twarogowy Płatek - Pilos",178,9,4,14
"Jogurt naturalny z ziarnami zbóż - Danone",97,4.1,13.4,2.9
"Śmietaną 30% (Piątnica)",292,2.2,3.3,30
"Zupa Gorący Kubek Pomidorowa (po przyrządzeniu) - Knorr",34,1.2,6.4,0.5
"Śmietana 36% (Piątnica)",347,1.7,4.1,36
"Stek z polędwicy wołowej",243,27,0,14
"Rogal Świętomarciński",480,10.4,47.4,29.2
"Wafle ryżowe Bio",388,8.2,80.9,2.8
"Otręby granulowane z żurawiną - Sante",352,12,33,13
"Lody Sorbet mango",119,0.3,27.8,0.3
"Mieszanka bakaliowa - Biedronka",508,14,30,35
"Chleb żytni For Fit - Benus",185,5.1,33,1.4
"Makaron spaghetti bogactwo błonnika - Pudliszki",336,11,64,1.5
"Kurczak po chińsku w sosie z makaronem i warzywami",152,13,18,3.1
"Ser żółty Maasdamer",347,26,0.1,27
"Brokuły mrożone",24,2.3,2.6,0.4
"Zupa kalafiorowa z warzywami",21,1,2,1
"Musli bez cukru - Sante",351,10,62,4.8
"Makaron bezglutenowy penne",179,2.3,40.1,1.1
"Musli - Master Crumble",334,10,59.2,6.4
"Kefir naturalny - Zott",44,3.3,3.8,1.4
"Mąka orkiszowa",320,11.6,62.4,2.7
"Schab (smażony)",203,25.2,0,10.9
"Wędzona makrela nautica LIDL",272,20.7,0,21
"Smietanka UHT 10% tłuszczu MLECZNA DOLINA",120,3,5,10
"Ciasteczka kruche z marmoladą",444,5.1,66.4,17.1
"Konfitura malinowa",152,0.8,35,0.5
"Płatki Granola czekoladowa - Sante",433,7.6,63.3,15
"Ptasie mleczko waniliowe - Wedel",441,2.8,57,22
"Mleko bez laktozy - Auchan",44,3,4.7,1.5
"Sos Tzatziki",85,3,5.9,5.7
"Kiełbasa krakowska sucha - Biedronka",234,29,0,13
"Zabielacz do kawy - La Movida",571,1.5,59.3,36
"Whey Protein odżywka",375,75,9,5
"Kanapka z szynką i serem",289,12,40,9
"Serek z łososiem Twój smak - Piątnica",247,6.7,3.2,23
"Chleb Dworski mieszany ze słonecznikiem - Piekarnia Cymes",273,7.3,42.4,8.3
"Olej kokosowy bezzapachowy rafinowany - Aura Herbals",900,0,0,100
"Knedle ze śliwkami",152,2.3,32.6,1.1
"Makaron Pastani Spaghetii (gotowany)",121,4.5,24,0.6
"Maślanka - Robico",48,3.4,5.1,1.5
"Jogurt naturalny Calpro - Krasnystaw",60,4.5,6,2
"Kiełbasa krakowska podsuszana light",134,23.8,0,4.3
"Kapusta z grochem",109,3.3,6,9.5
"Ser Chedar",334,25,0,26
"Serek wiejski z owocami",97,10.7,4.6,3.9
"Czekolada gorzka - Lidl",537,4.5,53.1,32
"Naleśniki z mąki razowej",208,7.4,22.5,9.4
"Zarodki pszenne - Sante",323,27.5,45.5,9.4
"Halibut świeży",91,18.6,0,1.3
"Woda kokosowa",19,0.7,3.7,0.2
"Chleb żytni razowy Bio - Lidl",217,6,42,2.3
"Szynka z kurcząt plastry - Pikok",100,19.5,2.2,1.5
"Salceson czarny",340,12.6,0.5,32
"Kanapka z szynka, sałatą i pomidorem",137,5,20,5
"Mleko 0,5% - Zambrowskie",45,3.2,4.7,1.5
"Chleb (ciasto) bananowy",326,4.3,54.6,10.5
"Jogurt Activia jagoda - Danone",90,3.6,12.8,2.6
Galareta,82,6,0.3,5.9
"Wieprzowina (łopatka)",148,19.6,0,7.1
"Serek Danio brzoskwiniowy",110,5.3,15.8,2.8
Napoleonka,350,5.8,43.5,16
"Makaron pszenny (ugotowany)",145,6.3,28,0.6
"Jogurt naturalny 0% - Nestle",44,4,7,0
"Polędwiczki z kurczaka - Tesco",116,22,0,3
"Płatki owsiane (pozostałe)",376,12,62,7
"Płatki śniadaniowe Dobry Błonnik - Bona Vita",244,12.8,50.7,4.1
"Zupa Barszcz czerwony eksprowy (po przyrządzeniu) - Knorr",20,0.2,4,0.3
"ananas w puszce Bakalland",70,0.4,16.9,0.1
"Wafle ryżowe o smaku papryki - Arroza",415,7.2,74,9.7
"Chleb razowy żytni 6 ziaren",301,9.6,52.3,6
"Białko Pure Whey Isolate 95 - Olimp",352,86,1,0.5
"Pierś kurczaka w papirusie",137,28,0.3,2
"Mielonka wieprzowa w galarecie",193,11,1.3,16
"Lody Big Milk - Algida",136,2.4,24,3.4
"Boczek pieczony",305,15,0,27
"Piwo Warka STRONG",49,0.5,3.8,0
"Jajka sadzone 3szt.",382,22,1,32
"Sos rybny",60,10,4.9,0
"Sałatka owocowa (wegetariańska)",62,1,15,0
"Kiełbasa mielonka",175,12.9,3.6,12
"Ser Mozzarella Mini - Lovilio",245,18,1.5,18.5
"Serek wiejski z truskawkami (PIĄTNICA)",118,9,12,4
"Sushi California maki",251,9,38,7
"Serek wiejski ziarnisty",97,11,2,5
"Jogurt typu greckiego z owocami 0% - Piątnica",84,7,14,0
"Szynka domowa",200,13,0,16
"Ciasto śliwkowe",243,3.7,28.3,12.7
"Szynka włoska wieprzowa, parzona, krucha, bez konserwantów - Sokołów",104,20,1.2,2.1
"Dorsz atlantycki (polędwica)",82,18,0,1
"Sałatka warzywna z majonezem",135,2.8,8.3,11.3
"Papryka pomarańczowa",28,1.3,6.6,0.5
"Musli owsiane polskie owoce - Vivi",334,8,65.4,4.1
"Boczniak (świeży)",35,3.5,6.5,0.4
"Surówka grecka (ogórki, marchewka, papryka, cebula, ocet)",23,0.5,4.4,0.5
"Lody orzechowe",253,4.5,25.1,15
"Jogurt pitny Danone",68,1.6,13.4,0.8
"Szpinak mrożony liście - Hortex",19,2.3,0.4,0.5
"Płatki zbożowe Kangus - Nestle",382,7.9,82.8,2.1
"Węglowodany odżywka",354,0,88.5,0
"Oliwki czarne 230g",155,1.3,3,14.5
"Chlebek Pita pełnopszenny",266,9.8,55,2.6
"Mleko (pozostałe)",69,2.9,10,1.2
"Izolat białkowy",399,97,0,1.3
"Bułka z otrębami",262,8.4,50.9,1
"Ser Mozzarella light - Lovilio",157,19,1,8.5
Lasagne,134,7,15,4.9
"Baton marcepanowy w czekoladzie deserowej",401,6.3,56.7,16.6
"Rogal Croissant Czekoladowy",385,6.6,43.2,20.7
"Pizza z szynką i pieczarkami z pieca kamiennego - Lidl",212,11.1,24.3,7.4
"Sałatka Cezar - Fit & Easy",101,6.3,5.6,5.6
"Kluski na parze",242,5,52,3.5
"Serek kanapkowy z czosnkiem i ziołami - Hochland",259,6,7,24
"Kurka świeża (grzyb)",32,1.5,6.9,0.4
"Ser Ricotta",118,7.9,4.1,7.8
"Guma Mamba",400,0,88,6
"Ser topiony kremowy Ementaler - Fasti",257,12,5.4,21
"Jajko przepiórcze",158,13.1,0.4,11.1
"Ser Camembert lekki - Turek",279,21,1.6,21
"Grochówka - Hortex",136,8,20.9,0.5
"Papryka czerwona smażona",133,1,6.6,12.8
"Czekolada gorzka 70% ze skórką pomarańczy - Wawel",496,7.5,37.3,34.8
"Hummus - Biedronka",292,8,13,21
"Chleb wiejski jasny",243,4.4,49.8,2.5
"Chleb pszenno-żytni  z dynią",201,6.4,43.9,1.3
"Chleb żytni z ziarnami Just Fit - Biedronka",69,2,11.8,0.8
"Kiełbasa mortadela wieprzowa",310,16,3.1,25
"Kasza BULGUR - Lidl",330,13,62,1.5
"Jogurt sojowy",94,3.5,16,1.8
"Kapusta włoska",50,3.3,7.8,0.6
"Ser Feta Apetina z ziołami prowansalskimi - Arla",240,11,2.5,21
